Call Type,Submit Time,RESPONSE TIME,Account Name,SYSTEM ID
2,2025-06-11-08:39:50,2025-06-11-08:39:52,TATA STEEL LIMITED 01,Unnamed: 55
2,2025-06-11-08:05:56,2025-06-11-08:39:46,CELL247MT,CELL247M
2,2025-06-11-08:39:44,2025-06-11-08:39:46,SPHEREEDGE,Roupsura5
2,2025-06-11-08:39:43,2025-06-11-08:39:46,SPHEREEDGE,Roupsura4
2,2025-06-11-08:30:41,2025-06-11-08:39:47,Spherepro01,routePro16
2,2025-06-11-08:39:41,2025-06-11-08:39:47,Spherepro01,routePro16
2,2025-06-11-08:39:45,2025-06-11-08:39:47,CELL247MT,CELL247M
2,2025-06-11-08:39:45,2025-06-11-08:39:47,SPHEREEDGE,Roupsura5
2,2025-06-11-08:39:45,2025-06-11-08:39:47,Spherealpha03,routenwalfa15
2,2025-06-11-08:39:45,2025-06-11-08:39:47,Spherealpha03,routenwalfa15
2,2025-06-11-08:39:44,2025-06-11-08:39:47,Spherealpha02,routenwalfa06
2,2025-06-11-08:39:35,2025-06-11-08:39:48,Master Capital Services Ltd,
2,2025-06-11-08:39:46,2025-06-11-08:39:48,Spherepro01,routePro16
2,2025-06-11-08:39:41,2025-06-11-08:39:48,Spherepro01,routePro16
2,2025-06-11-08:39:46,2025-06-11-08:39:48,Spherepro01,routePro15
2,2025-06-11-08:39:46,2025-06-11-08:39:48,Spherepro01,routePro16
2,2025-06-11-08:39:46,2025-06-11-08:39:48,Spherepro01,routePro16
2,2025-06-11-08:39:46,2025-06-11-08:39:48,Spherepro01,routePro16
2,2025-06-11-08:39:46,2025-06-11-08:39:48,Spherepro01,routePro16
2,2025-06-11-06:16:51,2025-06-11-08:39:48,Spherepro01,routePro15
2,2025-06-11-08:39:46,2025-06-11-08:39:48,Spherepro01,routePro16
2,2025-06-11-08:39:46,2025-06-11-08:39:48,Spherepro01,routePro16
2,2025-06-11-08:39:46,2025-06-11-08:39:48,Spherepro01,routePro16
2,2025-06-11-08:39:46,2025-06-11-08:39:48,Spherepro01,routePro15
2,2025-06-11-07:51:19,2025-06-11-08:39:48,Tatasky01,tsky03
2,2025-06-11-08:39:45,2025-06-11-08:39:48,Spherepro01,routePro15
2,2025-06-11-08:39:46,2025-06-11-08:39:48,Spherepro01,routePro15
2,2025-06-11-08:39:46,2025-06-11-08:39:48,Spherepro01,routePro15
2,2025-06-11-08:39:46,2025-06-11-08:39:48,Spherepro01,routePro15
2,2025-06-11-08:39:46,2025-06-11-08:39:48,Spherepro01,routePro16
2,2025-06-11-08:39:46,2025-06-11-08:39:48,Spherepro01,routePro16
2,2025-06-11-08:39:46,2025-06-11-08:39:48,Spherepro01,routePro16
2,2025-06-11-08:39:46,2025-06-11-08:39:48,Spherepro01,routePro16
2,2025-06-11-08:39:46,2025-06-11-08:39:48,Spherepro01,routePro16
2,2025-06-11-08:39:46,2025-06-11-08:39:48,Spherepro01,routePro16
2,2025-06-11-08:39:46,2025-06-11-08:39:48,Spherepro01,routePro16
2,2025-06-11-08:39:46,2025-06-11-08:39:48,Spherepro01,routePro16
2,2025-06-11-08:39:46,2025-06-11-08:39:48,Spherepro01,routePro16
2,2025-06-11-08:39:46,2025-06-11-08:39:48,Spherepro01,routePro16
2,2025-06-11-08:39:47,2025-06-11-08:39:48,TVS MOTOR COMPANY LIMITED 01,
2,2025-06-11-08:39:41,2025-06-11-08:39:48,TATA STEEL LIMITED 01,
2,2025-06-11-08:39:45,2025-06-11-08:39:48,SPHEREEDGE,Roupsura4
2,2025-06-11-08:39:46,2025-06-11-08:39:48,SPHEREEDGE,Roupsura4
2,2025-06-11-08:39:45,2025-06-11-08:39:48,Spherealpha03,routenwalfa15
2,2025-06-11-08:39:47,2025-06-11-08:39:48,TVS MOTOR COMPANY LIMITED 01,
2,2025-06-11-08:39:44,2025-06-11-08:39:48,Spherealpha02,routenwalfa06
2,2025-06-11-08:39:45,2025-06-11-08:39:48,UNNATTI FINSERV PRIVATE LIMITED,
2,2025-06-11-08:39:47,2025-06-11-08:39:48,Tatasky01,tsky03
2,2025-06-11-08:39:46,2025-06-11-08:39:49,Spherepro01,routePro16
2,2025-06-11-08:39:46,2025-06-11-08:39:49,Spherepro01,routePro15
2,2025-06-11-08:39:46,2025-06-11-08:39:49,Spherepro01,routePro16
2,2025-06-11-08:39:46,2025-06-11-08:39:49,Spherepro01,routePro15
2,2025-06-11-08:39:46,2025-06-11-08:39:49,Spherepro01,routePro15
2,2025-06-11-08:39:46,2025-06-11-08:39:49,Spherepro01,routePro15
2,2025-06-11-08:39:46,2025-06-11-08:39:49,Spherepro01,routePro15
2,2025-06-11-08:39:47,2025-06-11-08:39:49,Spherepro01,routePro16
2,2025-06-11-08:39:47,2025-06-11-08:39:49,Spherepro01,routePro16
2,2025-06-11-08:39:47,2025-06-11-08:39:49,Spherepro01,routePro16
2,2025-06-11-08:39:47,2025-06-11-08:39:49,Spherepro01,routePro16
2,2025-06-11-08:39:46,2025-06-11-08:39:49,Spherepro01,routePro16
2,2025-06-11-08:39:46,2025-06-11-08:39:49,Spherepro01,routePro16
2,2025-06-11-08:39:46,2025-06-11-08:39:49,Spherepro01,routePro16
2,2025-06-11-08:39:46,2025-06-11-08:39:49,Spherepro01,routePro16
2,2025-06-11-08:39:46,2025-06-11-08:39:49,Spherepro01,routePro16
2,2025-06-11-08:39:46,2025-06-11-08:39:49,Spherepro01,routePro16
2,2025-06-11-08:39:46,2025-06-11-08:39:49,Spherepro01,routePro15
2,2025-06-11-08:39:46,2025-06-11-08:39:49,Spherepro01,routePro16
2,2025-06-11-08:39:42,2025-06-11-08:39:49,Spherepro01,routePro15
2,2025-06-11-08:39:46,2025-06-11-08:39:49,Spherepro01,routePro16
2,2025-06-11-08:39:46,2025-06-11-08:39:49,Spherepro01,routePro16
2,2025-06-11-08:39:15,2025-06-11-08:39:49,Spherepro01,routePro16
2,2025-06-11-08:39:47,2025-06-11-08:39:49,Spherepro01,routePro16
2,2025-06-11-08:39:47,2025-06-11-08:39:49,Spherepro01,routePro15
2,2025-06-11-08:39:47,2025-06-11-08:39:49,Tatasky01,tsky02
2,2025-06-11-08:39:47,2025-06-11-08:39:49,SPHEREEDGE,Roupsura1
2,2025-06-11-08:39:46,2025-06-11-08:39:49,Spherealpha01,routenwalfa01
2,2025-06-11-08:39:48,2025-06-11-08:39:49,TVS MOTOR COMPANY LIMITED 01,
2,2025-06-11-08:39:46,2025-06-11-08:39:50,Spherepro01,routePro16
2,2025-06-11-08:39:47,2025-06-11-08:39:50,SPHEREEDGE,Roupsura1
2,2025-06-11-08:39:47,2025-06-11-08:39:50,Spherepro01,routePro16
2,2025-06-11-06:18:46,2025-06-11-08:39:50,Spherepro01,routePro16
2,2025-06-11-08:39:46,2025-06-11-08:39:50,Spherepro01,routePro16
2,2025-06-11-08:39:47,2025-06-11-08:39:50,Spherepro01,routePro16
2,2025-06-11-08:39:46,2025-06-11-08:39:50,Spherepro01,routePro15
2,2025-06-11-08:39:47,2025-06-11-08:39:50,Spherepro01,routePro16
2,2025-06-11-08:39:47,2025-06-11-08:39:50,Spherepro01,routePro16
2,2025-06-11-08:39:44,2025-06-11-08:39:50,SPHEREEDGE,Roupsura2
2,2025-06-11-08:39:48,2025-06-11-08:39:50,Spherealpha01,routenwalfa01
2,2025-06-11-08:39:47,2025-06-11-08:39:50,Spherepro01,routePro15
2,2025-06-11-08:39:41,2025-06-11-08:39:50,Spherepro01,routePro16
2,2025-06-11-08:39:46,2025-06-11-08:39:50,Spherepro01,routePro16
2,2025-06-11-08:39:47,2025-06-11-08:39:50,Spherepro01,routePro16
2,2025-06-11-08:39:46,2025-06-11-08:39:50,Spherepro01,routePro16
2,2025-06-11-08:39:47,2025-06-11-08:39:50,Spherepro01,routePro16
2,2025-06-11-08:39:47,2025-06-11-08:39:50,Spherepro01,routePro15
2,2025-06-11-08:39:49,2025-06-11-08:39:50,TATA STEEL LIMITED 01,
2,2025-06-11-08:39:47,2025-06-11-08:39:50,Tatasky01,tsky02
2,2025-06-11-08:39:48,2025-06-11-08:39:50,SPHEREEDGE,Roupsura1
2,2025-06-11-08:39:48,2025-06-11-08:39:50,SPHEREEDGE,Roupsura2
2,2025-06-11-08:39:48,2025-06-11-08:39:50,VALUEMOB,VALUETRANS1
2,2025-06-11-08:39:50,2025-06-11-08:39:50,Tatasky02,tsky07
2,2025-06-11-08:34:38,2025-06-11-08:39:50,VALUEMOB,VALUETRANS1
2,2025-06-11-08:39:49,2025-06-11-08:39:50,VALUEMOB,VALUEMO
2,2025-06-11-07:51:19,2025-06-11-08:39:50,Tatasky01,tsky03
2,2025-06-11-08:39:49,2025-06-11-08:39:51,Spherealpha03,routenwalfa15
2,2025-06-11-08:39:48,2025-06-11-08:39:51,Spherepro01,routePro15
2,2025-06-11-08:39:46,2025-06-11-08:39:51,Spherepro01,routePro16
2,2025-06-11-08:39:49,2025-06-11-08:39:51,CELL247MT,CELL247M
2,2025-06-11-08:39:47,2025-06-11-08:39:51,Spherepro01,routePro16
2,2025-06-11-08:39:47,2025-06-11-08:39:51,Spherepro01,routePro16
2,2025-06-11-08:39:46,2025-06-11-08:39:51,Spherepro01,routePro15
2,2025-06-11-08:39:48,2025-06-11-08:39:51,TATA STEEL LIMITED 01,
2,2025-06-11-08:39:50,2025-06-11-08:39:51,TATA STEEL LIMITED 01,
2,2025-06-11-08:39:48,2025-06-11-08:39:51,SPHEREEDGE,Roupsura3
2,2025-06-11-08:39:49,2025-06-11-08:39:51,Spherealpha02,routenwalfa06
2,2025-06-11-08:39:49,2025-06-11-08:39:51,Spherealpha03,routenwalfa15
2,2025-06-11-08:39:48,2025-06-11-08:39:51,SPHEREEDGE,Roupsura3
2,2025-06-11-08:39:50,2025-06-11-08:39:51,Tatasky01,tsky04
2,2025-06-11-08:39:48,2025-06-11-08:39:51,Tatasky01,tsky03
2,2025-06-11-08:39:50,2025-06-11-08:39:51,Tatasky02,tsky07
2,2025-06-11-08:39:46,2025-06-11-08:39:52,Spherepro01,routePro15
2,2025-06-11-08:39:50,2025-06-11-08:39:52,Tatasky01,tsky01
2,2025-06-11-08:39:46,2025-06-11-08:39:52,Spherepro01,routePro15
2,2025-06-11-08:39:51,2025-06-11-08:39:52,VALUEMOB,VALUEMO
2,2025-06-11-08:39:51,2025-06-11-08:39:52,HEALTH ARX TECHNOLOGIES PVT LTD,
2,2025-06-11-08:39:49,2025-06-11-08:39:52,SPHEREEDGE,Roupsura4
2,2025-06-11-08:39:49,2025-06-11-08:39:52,Spherealpha02,routenwalfa06
2,2025-06-11-08:39:49,2025-06-11-08:39:52,SPHEREEDGE,Roupsura5
2,2025-06-11-08:39:48,2025-06-11-08:39:52,Tatasky01,tsky03
2,2025-06-11-08:39:49,2025-06-11-08:39:52,Tatasky01,tsky01
